Date,Settle_ED1,Settle_ED2,Settle_ED3,Settle_ED4,Settle_ED5,Settle_ED6,Settle_ED7,Settle_ED8,Settle_ED9,Settle_ED10,Settle_ED11,Settle_ED12,Settle_ED13,Settle_ED14,Settle_ED15,Settle_ED16,Settle_ED17,Settle_ED18,Settle_ED19,Settle_ED20
1982-02-01,83.74,83.69,83.69,,,,,,,,,,,,,,,,,
1982-02-02,83.88,83.85,83.85,,,,,,,,,,,,,,,,,
1982-02-03,83.73,83.89,83.91,,,,,,,,,,,,,,,,,
1982-02-04,83.85,83.93,83.91,,,,,,,,,,,,,,,,,
1982-02-05,83.85,83.93,83.91,,,,,,,,,,,,,,,,,
1982-02-08,83.58,83.73,83.73,,,,,,,,,,,,,,,,,
1982-02-09,83.39,83.64,83.8,,,,,,,,,,,,,,,,,
1982-02-10,83.51,83.72,83.88,,,,,,,,,,,,,,,,,
1982-02-11,83.43,83.7,83.97,84.35,,,,,,,,,,,,,,,,
1982-02-12,83.36,83.64,83.98,84.35,,,,,,,,,,,,,,,,
1982-02-16,83.29,83.66,84.1,84.45,,,,,,,,,,,,,,,,
1982-02-17,83.43,83.75,84.1,84.45,,,,,,,,,,,,,,,,
1982-02-18,84.04,84.26,84.5,84.7,,,,,,,,,,,,,,,,
1982-02-19,84.0,84.25,84.48,84.75,,,,,,,,,,,,,,,,
1982-02-22,84.99,85.08,85.23,85.55,,,,,,,,,,,,,,,,
1982-02-23,85.13,85.06,85.1,85.4,,,,,,,,,,,,,,,,
1982-02-24,85.39,85.18,85.15,85.35,,,,,,,,,,,,,,,,
1982-02-25,85.2,85.06,85.19,85.27,,,,,,,,,,,,,,,,
1982-02-26,84.87,84.67,84.8,85.1,,,,,,,,,,,,,,,,
1982-03-01,85.33,85.15,85.18,85.3,,,,,,,,,,,,,,,,
1982-03-02,85.3,85.22,85.25,85.4,,,,,,,,,,,,,,,,
1982-03-03,85.39,85.42,85.45,85.5,,,,,,,,,,,,,,,,
1982-03-04,85.49,85.62,85.6,85.6,,,,,,,,,,,,,,,,
1982-03-05,85.53,85.61,85.57,85.7,,,,,,,,,,,,,,,,
1982-03-08,85.63,85.72,85.7,85.8,,,,,,,,,,,,,,,,
1982-03-09,85.4,85.44,85.44,85.63,,,,,,,,,,,,,,,,
1982-03-10,85.28,85.3,85.41,85.55,,,,,,,,,,,,,,,,
1982-03-11,84.99,85.01,85.15,85.35,,,,,,,,,,,,,,,,
1982-03-12,84.88,84.78,84.95,85.0,,,,,,,,,,,,,,,,
1982-03-15,84.88,84.74,84.87,85.03,,,,,,,,,,,,,,,,
1982-03-16,84.68,84.79,85.03,,,,,,,,,,,,,,,,,
1982-03-17,84.78,84.88,85.16,,,,,,,,,,,,,,,,,
1982-03-18,84.63,84.74,85.04,,,,,,,,,,,,,,,,,
1982-03-19,84.38,84.59,84.89,,,,,,,,,,,,,,,,,
1982-03-22,84.79,84.97,85.19,,,,,,,,,,,,,,,,,
1982-03-23,84.98,85.13,85.33,,,,,,,,,,,,,,,,,
1982-03-24,84.75,84.9,85.1,,,,,,,,,,,,,,,,,
1982-03-25,84.65,84.8,84.97,,,,,,,,,,,,,,,,,
1982-03-26,84.47,84.6,84.8,,,,,,,,,,,,,,,,,
1982-03-29,84.2,84.37,84.55,,,,,,,,,,,,,,,,,
1982-03-30,84.16,84.3,84.5,,,,,,,,,,,,,,,,,
1982-03-31,84.46,84.58,84.75,,,,,,,,,,,,,,,,,
1982-04-01,84.54,84.7,84.86,,,,,,,,,,,,,,,,,
1982-04-02,84.36,84.49,84.65,,,,,,,,,,,,,,,,,
1982-04-05,84.39,84.55,84.62,,,,,,,,,,,,,,,,,
1982-04-06,84.35,84.48,84.57,84.68,,,,,,,,,,,,,,,,
1982-04-07,84.24,84.36,84.45,84.6,,,,,,,,,,,,,,,,
1982-04-08,84.39,84.53,84.65,84.78,,,,,,,,,,,,,,,,
1982-04-12,84.89,84.98,85.01,84.78,,,,,,,,,,,,,,,,
1982-04-13,84.75,84.86,84.94,84.78,,,,,,,,,,,,,,,,
1982-04-14,84.68,84.81,84.91,84.9,,,,,,,,,,,,,,,,
1982-04-15,84.68,84.8,84.9,84.9,,,,,,,,,,,,,,,,
1982-04-16,84.97,85.0,85.04,85.0,,,,,,,,,,,,,,,,
1982-04-19,85.15,85.19,85.19,85.18,,,,,,,,,,,,,,,,
1982-04-20,85.16,85.2,85.2,85.23,,,,,,,,,,,,,,,,
1982-04-21,85.24,85.3,85.22,85.22,,,,,,,,,,,,,,,,
1982-04-22,85.22,85.29,85.3,85.25,,,,,,,,,,,,,,,,
1982-04-23,85.41,85.57,85.6,85.57,,,,,,,,,,,,,,,,
1982-04-26,85.41,85.59,85.6,85.6,,,,,,,,,,,,,,,,
